[2022/05/17 07:58:32][DEBUG](PDFReadForList copy.py:907) \\Sv05121a\e\電子ファイル\メッセージボックス\2022-3\0納付内のPDF抽出開始 <module> d:\PythonScript\RPAScript\PDFReadForList copy.py
[2022/05/17 07:58:32][DEBUG](PDFReadForList copy.py:748) //Sv05121a/e/電子ファイル/メッセージボックス/2022-3/0納付/051.xdw_xdwファイルの為取得不可 PDFRead d:\PythonScript\RPAScript\PDFReadForList copy.py
[2022/05/17 07:58:32][DEBUG](PDFReadForList copy.py:748) //Sv05121a/e/電子ファイル/メッセージボックス/2022-3/0納付/086.xdw_xdwファイルの為取得不可 PDFRead d:\PythonScript\RPAScript\PDFReadForList copy.py
[2022/05/17 07:58:32][DEBUG](PDFReadForList copy.py:748) //Sv05121a/e/電子ファイル/メッセージボックス/2022-3/0納付/094.xdw_xdwファイルの為取得不可 PDFRead d:\PythonScript\RPAScript\PDFReadForList copy.py
[2022/05/17 07:58:32][DEBUG](PDFReadForList copy.py:748) //Sv05121a/e/電子ファイル/メッセージボックス/2022-3/0納付/1099.xdw_xdwファイルの為取得不可 PDFRead d:\PythonScript\RPAScript\PDFReadForList copy.py
[2022/05/17 07:58:32][DEBUG](PDFReadForList copy.py:748) //Sv05121a/e/電子ファイル/メッセージボックス/2022-3/0納付/1148.xdw_xdwファイルの為取得不可 PDFRead d:\PythonScript\RPAScript\PDFReadForList copy.py
[2022/05/17 07:58:32][DEBUG](PDFReadForList copy.py:748) //Sv05121a/e/電子ファイル/メッセージボックス/2022-3/0納付/1170.xdw_xdwファイルの為取得不可 PDFRead d:\PythonScript\RPAScript\PDFReadForList copy.py
[2022/05/17 07:58:32][DEBUG](PDFReadForList copy.py:748) //Sv05121a/e/電子ファイル/メッセージボックス/2022-3/0納付/1202.xdw_xdwファイルの為取得不可 PDFRead d:\PythonScript\RPAScript\PDFReadForList copy.py
[2022/05/17 07:58:32][DEBUG](PDFReadForList copy.py:748) //Sv05121a/e/電子ファイル/メッセージボックス/2022-3/0納付/1228.xdw_xdwファイルの為取得不可 PDFRead d:\PythonScript\RPAScript\PDFReadForList copy.py
[2022/05/17 07:58:32][DEBUG](PDFReadForList copy.py:748) //Sv05121a/e/電子ファイル/メッセージボックス/2022-3/0納付/128.xdw_xdwファイルの為取得不可 PDFRead d:\PythonScript\RPAScript\PDFReadForList copy.py
[2022/05/17 07:58:32][DEBUG](PDFReadForList copy.py:748) //Sv05121a/e/電子ファイル/メッセージボックス/2022-3/0納付/1397.xdw_xdwファイルの為取得不可 PDFRead d:\PythonScript\RPAScript\PDFReadForList copy.py
[2022/05/17 07:58:32][DEBUG](PDFReadForList copy.py:748) //Sv05121a/e/電子ファイル/メッセージボックス/2022-3/0納付/1412.xdw_xdwファイルの為取得不可 PDFRead d:\PythonScript\RPAScript\PDFReadForList copy.py
[2022/05/17 07:58:32][DEBUG](PDFReadForList copy.py:748) //Sv05121a/e/電子ファイル/メッセージボックス/2022-3/0納付/1626.xdw_xdwファイルの為取得不可 PDFRead d:\PythonScript\RPAScript\PDFReadForList copy.py
