[2022/05/16 10:54:31][DEBUG](PDFReadForList copy.py:748) //Sv05121a/e/電子ファイル/メッセージボックス/2022-2/0納付/543.xdw_xdwファイルの為取得不可 PDFRead d:\PythonScript\RPAScript\PDFReadForList copy.py
[2022/05/16 10:54:31][DEBUG](PDFReadForList copy.py:748) //Sv05121a/e/電子ファイル/メッセージボックス/2022-2/0納付/547.xdw_xdwファイルの為取得不可 PDFRead d:\PythonScript\RPAScript\PDFReadForList copy.py
[2022/05/16 10:54:31][DEBUG](PDFReadForList copy.py:748) //Sv05121a/e/電子ファイル/メッセージボックス/2022-2/0納付/571.xdw_xdwファイルの為取得不可 PDFRead d:\PythonScript\RPAScript\PDFReadForList copy.py
[2022/05/16 10:54:31][DEBUG](PDFReadForList copy.py:748) //Sv05121a/e/電子ファイル/メッセージボックス/2022-2/0納付/632.xdw_xdwファイルの為取得不可 PDFRead d:\PythonScript\RPAScript\PDFReadForList copy.py
[2022/05/16 10:54:31][DEBUG](PDFReadForList copy.py:748) //Sv05121a/e/電子ファイル/メッセージボックス/2022-2/0納付/648.xdw_xdwファイルの為取得不可 PDFRead d:\PythonScript\RPAScript\PDFReadForList copy.py
[2022/05/16 10:54:31][DEBUG](PDFReadForList copy.py:748) //Sv05121a/e/電子ファイル/メッセージボックス/2022-2/0納付/669.xdw_xdwファイルの為取得不可 PDFRead d:\PythonScript\RPAScript\PDFReadForList copy.py
[2022/05/16 10:54:31][DEBUG](PDFReadForList copy.py:748) //Sv05121a/e/電子ファイル/メッセージボックス/2022-2/0納付/683.xdw_xdwファイルの為取得不可 PDFRead d:\PythonScript\RPAScript\PDFReadForList copy.py
[2022/05/16 10:54:31][DEBUG](PDFReadForList copy.py:748) //Sv05121a/e/電子ファイル/メッセージボックス/2022-2/0納付/691.xdw_xdwファイルの為取得不可 PDFRead d:\PythonScript\RPAScript\PDFReadForList copy.py
[2022/05/16 10:54:31][DEBUG](PDFReadForList copy.py:748) //Sv05121a/e/電子ファイル/メッセージボックス/2022-2/0納付/696.xdw_xdwファイルの為取得不可 PDFRead d:\PythonScript\RPAScript\PDFReadForList copy.py
[2022/05/16 10:54:32][DEBUG](PDFReadForList copy.py:748) //Sv05121a/e/電子ファイル/メッセージボックス/2022-2/0納付/701.xdw_xdwファイルの為取得不可 PDFRead d:\PythonScript\RPAScript\PDFReadForList copy.py
[2022/05/16 10:54:32][DEBUG](PDFReadForList copy.py:748) //Sv05121a/e/電子ファイル/メッセージボックス/2022-2/0納付/709.xdw_xdwファイルの為取得不可 PDFRead d:\PythonScript\RPAScript\PDFReadForList copy.py
[2022/05/16 10:54:32][DEBUG](PDFReadForList copy.py:748) //Sv05121a/e/電子ファイル/メッセージボックス/2022-2/0納付/713.xdw_xdwファイルの為取得不可 PDFRead d:\PythonScript\RPAScript\PDFReadForList copy.py
[2022/05/16 10:54:32][DEBUG](PDFReadForList copy.py:748) //Sv05121a/e/電子ファイル/メッセージボックス/2022-2/0納付/785.xdw_xdwファイルの為取得不可 PDFRead d:\PythonScript\RPAScript\PDFReadForList copy.py
[2022/05/16 10:54:32][DEBUG](PDFReadForList copy.py:748) //Sv05121a/e/電子ファイル/メッセージボックス/2022-2/0納付/824.xdw_xdwファイルの為取得不可 PDFRead d:\PythonScript\RPAScript\PDFReadForList copy.py
[2022/05/16 10:54:32][DEBUG](PDFReadForList copy.py:748) //Sv05121a/e/電子ファイル/メッセージボックス/2022-2/0納付/925.xdw_xdwファイルの為取得不可 PDFRead d:\PythonScript\RPAScript\PDFReadForList copy.py
[2022/05/16 10:54:32][DEBUG](PDFReadForList copy.py:748) //Sv05121a/e/電子ファイル/メッセージボックス/2022-2/0納付/Thumbs.db_xdwファイルの為取得不可 PDFRead d:\PythonScript\RPAScript\PDFReadForList copy.py
[2022/05/16 10:54:32][DEBUG](PDFReadForList copy.py:910) \\Sv05121a\e\電子ファイル\メッセージボックス\2022-2\0納付内のPDF抽出完了 <module> d:\PythonScript\RPAScript\PDFReadForList copy.py
