[2022/05/18 17:39:48][DEBUG](PDFReadForList copy.py:967) \\Sv05121a\e\電子ファイル\メッセージボックス\TEST内のPDF抽出開始 <module> d:\PythonScript\RPAScript\PDFReadForList copy.py
[2022/05/18 17:39:53][DEBUG](PDFReadForList copy.py:870) //Sv05121a/e/電子ファイル/メッセージボックス/TEST/受信通知CSV/ErrList.csv_PDFファイル以外の為取得不可 PDFRead d:\PythonScript\RPAScript\PDFReadForList copy.py
[2022/05/18 17:39:53][DEBUG](PDFReadForList copy.py:870) //Sv05121a/e/電子ファイル/メッセージボックス/TEST/受信通知CSV/受信通知CSV/TEST/MJS6.csv_PDFファイル以外の為取得不可 PDFRead d:\PythonScript\RPAScript\PDFReadForList copy.py
[2022/05/18 17:39:53][DEBUG](PDFReadForList copy.py:870) //Sv05121a/e/電子ファイル/メッセージボックス/TEST/受信通知CSV/受信通知CSV/2022-2/2022-20納付/ErrList.csv_PDFファイル以外の為取得不可 PDFRead d:\PythonScript\RPAScript\PDFReadForList copy.py
[2022/05/18 17:39:53][DEBUG](PDFReadForList copy.py:870) //Sv05121a/e/電子ファイル/メッセージボックス/TEST/受信通知CSV/受信通知CSV/2022-2/2022-2eLTAX/eltaxList9.csv_PDFファイル以外の為取得不可 PDFRead d:\PythonScript\RPAScript\PDFReadForList copy.py
[2022/05/18 17:39:53][DEBUG](PDFReadForList copy.py:870) //Sv05121a/e/電子ファイル/メッセージボックス/TEST/受信通知CSV/受信通知CSV/2022-2/2022-2eLTAX/ErrList.csv_PDFファイル以外の為取得不可 PDFRead d:\PythonScript\RPAScript\PDFReadForList copy.py
[2022/05/18 17:39:53][DEBUG](PDFReadForList copy.py:870) //Sv05121a/e/電子ファイル/メッセージボックス/TEST/受信通知CSV/受信通知CSV/2022-2/2022-2eLTAX受信通知/eltaxList.csv_PDFファイル以外の為取得不可 PDFRead d:\PythonScript\RPAScript\PDFReadForList copy.py
[2022/05/18 17:39:53][DEBUG](PDFReadForList copy.py:870) //Sv05121a/e/電子ファイル/メッセージボックス/TEST/受信通知CSV/受信通知CSV/2022-2/2022-2eLTAX受信通知/eltaxList2.csv_PDFファイル以外の為取得不可 PDFRead d:\PythonScript\RPAScript\PDFReadForList copy.py
[2022/05/18 17:39:53][DEBUG](PDFReadForList copy.py:870) //Sv05121a/e/電子ファイル/メッセージボックス/TEST/受信通知CSV/受信通知CSV/2022-2/2022-2eLTAX受信通知/eltaxList3.csv_PDFファイル以外の為取得不可 PDFRead d:\PythonScript\RPAScript\PDFReadForList copy.py
[2022/05/18 17:39:53][DEBUG](PDFReadForList copy.py:870) //Sv05121a/e/電子ファイル/メッセージボックス/TEST/受信通知CSV/受信通知CSV/2022-2/2022-2eLTAX受信通知/eltaxList4.csv_PDFファイル以外の為取得不可 PDFRead d:\PythonScript\RPAScript\PDFReadForList copy.py
[2022/05/18 17:39:53][DEBUG](PDFReadForList copy.py:870) //Sv05121a/e/電子ファイル/メッセージボックス/TEST/受信通知CSV/受信通知CSV/2022-2/2022-2eLTAX受信通知/eltaxList5.csv_PDFファイル以外の為取得不可 PDFRead d:\PythonScript\RPAScript\PDFReadForList copy.py
