[2022/05/14 08:14:31][DEBUG](PDFReadForList copy.py:585) //Sv05121a/e/電子ファイル/メッセージボックス/2022-2/送信分受信通知/312/申告/312_有限会社 パル動物病院.pdf_3ページ目タイムアウト CSVIndexSort d:\PythonScript\RPAScript\PDFReadForList copy.py
[2022/05/14 08:14:44][DEBUG](PDFReadForList copy.py:585) //Sv05121a/e/電子ファイル/メッセージボックス/2022-2/送信分受信通知/312/申告/312_有限会社 パル動物病院.pdf_5ページ目タイムアウト CSVIndexSort d:\PythonScript\RPAScript\PDFReadForList copy.py
[2022/05/14 08:14:51][DEBUG](PDFReadForList copy.py:585) //Sv05121a/e/電子ファイル/メッセージボックス/2022-2/送信分受信通知/312/申告/312_有限会社 パル動物病院.pdf_6ページ目タイムアウト CSVIndexSort d:\PythonScript\RPAScript\PDFReadForList copy.py
[2022/05/14 08:15:47][DEBUG](PDFReadForList copy.py:328) //Sv05121a/e/電子ファイル/メッセージボックス/2022-2/送信分受信通知/399/ミロク送信分/399_株式会社 SWINGING BIRD.pdf_2ページ目取得対象外 CamelotSerch d:\PythonScript\RPAScript\PDFReadForList copy.py
[2022/05/14 08:16:03][DEBUG](PDFReadForList copy.py:328) //Sv05121a/e/電子ファイル/メッセージボックス/2022-2/送信分受信通知/407/申請/407_株式会社 Ｗｒｅａｔｈ＆Ｃｏ．.pdf_2ページ目取得対象外 CamelotSerch d:\PythonScript\RPAScript\PDFReadForList copy.py
[2022/05/14 08:16:35][DEBUG](PDFReadForList copy.py:328) //Sv05121a/e/電子ファイル/メッセージボックス/2022-2/送信分受信通知/433/申請/433_株式会社 ＡＫ.pdf_2ページ目取得対象外 CamelotSerch d:\PythonScript\RPAScript\PDFReadForList copy.py
[2022/05/14 08:16:42][DEBUG](PDFReadForList copy.py:328) //Sv05121a/e/電子ファイル/メッセージボックス/2022-2/送信分受信通知/463/申請/463_お好み焼き もり.pdf_2ページ目取得対象外 CamelotSerch d:\PythonScript\RPAScript\PDFReadForList copy.py
[2022/05/14 08:16:42][DEBUG](PDFReadForList copy.py:328) //Sv05121a/e/電子ファイル/メッセージボックス/2022-2/送信分受信通知/463/申請/463_お好み焼き もり.pdf_3ページ目取得対象外 CamelotSerch d:\PythonScript\RPAScript\PDFReadForList copy.py
[2022/05/14 08:16:58][DEBUG](PDFReadForList copy.py:585) //Sv05121a/e/電子ファイル/メッセージボックス/2022-2/送信分受信通知/464/申告/464_医療法人社団 松成会.pdf_2ページ目タイムアウト CSVIndexSort d:\PythonScript\RPAScript\PDFReadForList copy.py
[2022/05/14 08:17:11][DEBUG](PDFReadForList copy.py:585) //Sv05121a/e/電子ファイル/メッセージボックス/2022-2/送信分受信通知/464/申告/464_医療法人社団 松成会.pdf_4ページ目タイムアウト CSVIndexSort d:\PythonScript\RPAScript\PDFReadForList copy.py
[2022/05/14 08:17:19][DEBUG](PDFReadForList copy.py:585) //Sv05121a/e/電子ファイル/メッセージボックス/2022-2/送信分受信通知/464/申告/464_医療法人社団 松成会.pdf_5ページ目タイムアウト CSVIndexSort d:\PythonScript\RPAScript\PDFReadForList copy.py
