[2022/05/17 11:32:02][DEBUG](PDFReadForList copy.py:809) //Sv05121a/e/電子ファイル/メッセージボックス/TEST/受信通知CSV/受信通知CSV/2022-2/2022-2eTAX/etaxList.csv_xdwファイルの為取得不可 PDFRead d:\PythonScript\RPAScript\PDFReadForList copy.py
[2022/05/17 11:32:02][DEBUG](PDFReadForList copy.py:809) //Sv05121a/e/電子ファイル/メッセージボックス/TEST/受信通知CSV/受信通知CSV/2022-2/2022-2eTAX/etaxList10.csv_xdwファイルの為取得不可 PDFRead d:\PythonScript\RPAScript\PDFReadForList copy.py
[2022/05/17 11:32:02][DEBUG](PDFReadForList copy.py:809) //Sv05121a/e/電子ファイル/メッセージボックス/TEST/受信通知CSV/受信通知CSV/2022-2/2022-2eTAX/etaxList11.csv_xdwファイルの為取得不可 PDFRead d:\PythonScript\RPAScript\PDFReadForList copy.py
[2022/05/17 11:32:03][DEBUG](PDFReadForList copy.py:809) //Sv05121a/e/電子ファイル/メッセージボックス/TEST/受信通知CSV/受信通知CSV/2022-2/2022-2eTAX/etaxList12.csv_xdwファイルの為取得不可 PDFRead d:\PythonScript\RPAScript\PDFReadForList copy.py
[2022/05/17 11:32:03][DEBUG](PDFReadForList copy.py:809) //Sv05121a/e/電子ファイル/メッセージボックス/TEST/受信通知CSV/受信通知CSV/2022-2/2022-2eTAX/etaxList2.csv_xdwファイルの為取得不可 PDFRead d:\PythonScript\RPAScript\PDFReadForList copy.py
[2022/05/17 11:32:03][DEBUG](PDFReadForList copy.py:809) //Sv05121a/e/電子ファイル/メッセージボックス/TEST/受信通知CSV/受信通知CSV/2022-2/2022-2eTAX/etaxList4.csv_xdwファイルの為取得不可 PDFRead d:\PythonScript\RPAScript\PDFReadForList copy.py
[2022/05/17 11:32:03][DEBUG](PDFReadForList copy.py:809) //Sv05121a/e/電子ファイル/メッセージボックス/TEST/受信通知CSV/受信通知CSV/2022-2/2022-2eTAX/etaxList5.csv_xdwファイルの為取得不可 PDFRead d:\PythonScript\RPAScript\PDFReadForList copy.py
[2022/05/17 11:32:03][DEBUG](PDFReadForList copy.py:809) //Sv05121a/e/電子ファイル/メッセージボックス/TEST/受信通知CSV/受信通知CSV/2022-2/2022-2eTAX/etaxList6.csv_xdwファイルの為取得不可 PDFRead d:\PythonScript\RPAScript\PDFReadForList copy.py
[2022/05/17 11:32:03][DEBUG](PDFReadForList copy.py:809) //Sv05121a/e/電子ファイル/メッセージボックス/TEST/受信通知CSV/受信通知CSV/2022-2/2022-2eTAX/etaxList7.csv_xdwファイルの為取得不可 PDFRead d:\PythonScript\RPAScript\PDFReadForList copy.py
[2022/05/17 11:32:04][DEBUG](PDFReadForList copy.py:809) //Sv05121a/e/電子ファイル/メッセージボックス/TEST/受信通知CSV/受信通知CSV/2022-2/2022-2eTAX/etaxList8.csv_xdwファイルの為取得不可 PDFRead d:\PythonScript\RPAScript\PDFReadForList copy.py
[2022/05/17 11:32:04][DEBUG](PDFReadForList copy.py:809) //Sv05121a/e/電子ファイル/メッセージボックス/TEST/受信通知CSV/受信通知CSV/2022-2/2022-2eTAX/etaxList9.csv_xdwファイルの為取得不可 PDFRead d:\PythonScript\RPAScript\PDFReadForList copy.py
[2022/05/17 11:32:04][DEBUG](PDFReadForList copy.py:809) //Sv05121a/e/電子ファイル/メッセージボックス/TEST/受信通知CSV/受信通知CSV/2022-2/2022-2eTAX/etaxnouhu.csv_xdwファイルの為取得不可 PDFRead d:\PythonScript\RPAScript\PDFReadForList copy.py
[2022/05/17 11:32:04][DEBUG](PDFReadForList copy.py:809) //Sv05121a/e/電子ファイル/メッセージボックス/TEST/受信通知CSV/受信通知CSV/2022-2/2022-2eTAX/etaxnouhu2.csv_xdwファイルの為取得不可 PDFRead d:\PythonScript\RPAScript\PDFReadForList copy.py
[2022/05/17 11:32:04][DEBUG](PDFReadForList copy.py:809) //Sv05121a/e/電子ファイル/メッセージボックス/TEST/受信通知CSV/受信通知CSV/2022-2/2022-2eTAX/etaxseikyuhakkou.csv_xdwファイルの為取得不可 PDFRead d:\PythonScript\RPAScript\PDFReadForList copy.py
[2022/05/17 11:32:04][DEBUG](PDFReadForList copy.py:809) //Sv05121a/e/電子ファイル/メッセージボックス/TEST/受信通知CSV/受信通知CSV/2022-2/2022-2eTAX/etaxsyotoku.csv_xdwファイルの為取得不可 PDFRead d:\PythonScript\RPAScript\PDFReadForList copy.py
[2022/05/17 11:32:04][DEBUG](PDFReadForList copy.py:809) //Sv05121a/e/電子ファイル/メッセージボックス/TEST/受信通知CSV/受信通知CSV/2022-2/2022-2eTAX/etaxsyotoku2.csv_xdwファイルの為取得不可 PDFRead d:\PythonScript\RPAScript\PDFReadForList copy.py
[2022/05/17 11:32:04][DEBUG](PDFReadForList copy.py:809) //Sv05121a/e/電子ファイル/メッセージボックス/TEST/受信通知CSV/受信通知CSV/2022-2/2022-2eTAX/etaxsyotoku3.csv_xdwファイルの為取得不可 PDFRead d:\PythonScript\RPAScript\PDFReadForList copy.py
[2022/05/17 11:32:04][DEBUG](PDFReadForList copy.py:809) //Sv05121a/e/電子ファイル/メッセージボックス/TEST/受信通知CSV/受信通知CSV/2022-2/2022-2eTAX/etaxsyotoku4.csv_xdwファイルの為取得不可 PDFRead d:\PythonScript\RPAScript\PDFReadForList copy.py
[2022/05/17 11:32:04][DEBUG](PDFReadForList copy.py:809) //Sv05121a/e/電子ファイル/メッセージボックス/TEST/受信通知CSV/受信通知CSV/2022-2/2022-2eTAX/etaxsyotoku5.csv_xdwファイルの為取得不可 PDFRead d:\PythonScript\RPAScript\PDFReadForList copy.py
[2022/05/17 11:32:05][DEBUG](PDFReadForList copy.py:809) //Sv05121a/e/電子ファイル/メッセージボックス/TEST/受信通知CSV/受信通知CSV/2022-2/2022-2eTAX/etaxsyouhicyuukan.csv_xdwファイルの為取得不可 PDFRead d:\PythonScript\RPAScript\PDFReadForList copy.py
[2022/05/17 11:32:05][DEBUG](PDFReadForList copy.py:809) //Sv05121a/e/電子ファイル/メッセージボックス/TEST/受信通知CSV/受信通知CSV/2022-2/2022-2eTAX/etaxsyouhisinkoku.csv_xdwファイルの為取得不可 PDFRead d:\PythonScript\RPAScript\PDFReadForList copy.py
[2022/05/17 11:32:05][DEBUG](PDFReadForList copy.py:809) //Sv05121a/e/電子ファイル/メッセージボックス/TEST/受信通知CSV/受信通知CSV/2022-2/2022-2eTAX/KakusinOsirase.csv_xdwファイルの為取得不可 PDFRead d:\PythonScript\RPAScript\PDFReadForList copy.py
[2022/05/17 11:32:05][DEBUG](PDFReadForList copy.py:809) //Sv05121a/e/電子ファイル/メッセージボックス/TEST/受信通知CSV/受信通知CSV/2022-2/2022-2eTAX/TKC22.csv_xdwファイルの為取得不可 PDFRead d:\PythonScript\RPAScript\PDFReadForList copy.py
[2022/05/17 11:32:05][DEBUG](PDFReadForList copy.py:809) //Sv05121a/e/電子ファイル/メッセージボックス/TEST/受信通知CSV/受信通知CSV/2022-2/2022-2eTAX/TKC7.csv_xdwファイルの為取得不可 PDFRead d:\PythonScript\RPAScript\PDFReadForList copy.py
[2022/05/17 11:32:06][DEBUG](PDFReadForList copy.py:809) //Sv05121a/e/電子ファイル/メッセージボックス/TEST/受信通知CSV/受信通知CSV/2022-2/2022-2償却資産/MJS6.csv_xdwファイルの為取得不可 PDFRead d:\PythonScript\RPAScript\PDFReadForList copy.py
[2022/05/17 11:32:06][DEBUG](PDFReadForList copy.py:809) //Sv05121a/e/電子ファイル/メッセージボックス/TEST/受信通知CSV/受信通知CSV/2022-2/2022-2償却資産/Syoukyaku.csv_xdwファイルの為取得不可 PDFRead d:\PythonScript\RPAScript\PDFReadForList copy.py
[2022/05/17 11:32:06][DEBUG](PDFReadForList copy.py:809) //Sv05121a/e/電子ファイル/メッセージボックス/TEST/受信通知CSV/受信通知CSV/2022-2/2022-2償却資産/TKCuketuke.csv_xdwファイルの為取得不可 PDFRead d:\PythonScript\RPAScript\PDFReadForList copy.py
[2022/05/17 11:32:06][DEBUG](PDFReadForList copy.py:809) //Sv05121a/e/電子ファイル/メッセージボックス/TEST/受信通知CSV/受信通知CSV/2022-2/2022-2償却資産/TKCuketuke2.csv_xdwファイルの為取得不可 PDFRead d:\PythonScript\RPAScript\PDFReadForList copy.py
[2022/05/17 11:32:07][DEBUG](PDFReadForList copy.py:809) //Sv05121a/e/電子ファイル/メッセージボックス/TEST/受信通知CSV/受信通知CSV/2022-2/2022-2送信分受信通知/etaximage.csv_xdwファイルの為取得不可 PDFRead d:\PythonScript\RPAScript\PDFReadForList copy.py
[2022/05/17 11:32:07][DEBUG](PDFReadForList copy.py:809) //Sv05121a/e/電子ファイル/メッセージボックス/TEST/受信通知CSV/受信通知CSV/2022-2/2022-2送信分受信通知/etaxList.csv_xdwファイルの為取得不可 PDFRead d:\PythonScript\RPAScript\PDFReadForList copy.py
[2022/05/17 11:32:07][DEBUG](PDFReadForList copy.py:809) //Sv05121a/e/電子ファイル/メッセージボックス/TEST/受信通知CSV/受信通知CSV/2022-2/2022-2送信分受信通知/etaxseikyuhakkou.csv_xdwファイルの為取得不可 PDFRead d:\PythonScript\RPAScript\PDFReadForList copy.py
[2022/05/17 11:32:07][DEBUG](PDFReadForList copy.py:809) //Sv05121a/e/電子ファイル/メッセージボックス/TEST/受信通知CSV/受信通知CSV/2022-2/2022-2送信分受信通知/etaxsyotoku4.csv_xdwファイルの為取得不可 PDFRead d:\PythonScript\RPAScript\PDFReadForList copy.py
[2022/05/17 11:32:07][DEBUG](PDFReadForList copy.py:809) //Sv05121a/e/電子ファイル/メッセージボックス/TEST/受信通知CSV/受信通知CSV/2022-2/2022-2送信分受信通知/etaxsyotoku5.csv_xdwファイルの為取得不可 PDFRead d:\PythonScript\RPAScript\PDFReadForList copy.py
[2022/05/17 11:32:07][DEBUG](PDFReadForList copy.py:809) //Sv05121a/e/電子ファイル/メッセージボックス/TEST/受信通知CSV/受信通知CSV/2022-2/2022-2送信分受信通知/MJS10.csv_xdwファイルの為取得不可 PDFRead d:\PythonScript\RPAScript\PDFReadForList copy.py
