0,1,2,3
0,0,48,91
1,4,103,91
2,.,169,91
3,0,212,91
4,4,268,91
5,.,334,91
6,2,380,91
7,5,435,91
8,C,541,91
9,D,598,91
10,フ,608,91
11,リ,709,91
12,コ,767,91
13,ミ,817,91
14,0,51,224
15,4,100,224
16,.,172,224
17,0,217,224
18,4,269,224
19,.,337,224
20,2,380,224
21,5,438,224
22,C,547,224
23,D,599,224
24,フ,656,224
25,リ,710,224
26,コ,766,224
27,ミ,822,224
28,0,52,358
29,4,102,358
30,.,174,358
31,0,218,358
32,4,274,358
33,.,340,358
34,2,384,358
35,5,437,358
36,C,549,358
37,D,604,358
38,フ,663,358
39,リ,715,358
40,コ,768,358
41,ミ,825,358
42,0,51,486
43,4,100,486
44,.,173,486
45,0,215,486
46,4,269,486
47,.,337,486
48,2,378,486
49,5,437,486
50,C,545,486
51,D,600,486
52,カ,654,486
53,ー,712,486
54,ド,773,486
55,0,49,622
56,4,97,622
57,.,172,622
58,0,218,622
59,4,272,622
60,.,339,622
61,2,383,622
62,6,437,622
63,会,547,622
64,費,658,622
65,0,55,761
66,4,107,761
67,.,177,761
68,0,218,761
69,4,274,761
70,.,347,761
71,2,383,761
72,6,439,761
73,損,548,761
74,害,658,761
75,保,769,761
76,険,881,761
77,0,55,890
78,4,106,890
79,.,176,890
80,0,223,890
81,4,274,890
82,.,344,890
83,2,383,890
84,6,441,890
85,損,552,890
86,害,659,890
87,保,771,890
88,険,884,890
89,0,51,1035
90,4,100,1035
91,.,173,1035
92,0,216,1035
93,4,267,1035
94,.,339,1035
95,2,381,1035
96,7,435,1035
97,ミ,541,1035
98,ツ,598,1035
99,ﾋﾞ,659,1035
100,シ,766,1035
101,U,826,1035
102,F,879,1035
103,J,933,1035
104,0,55,1162
105,4,103,1162
106,.,174,1162
107,0,220,1162
108,4,271,1162
109,.,339,1162
110,2,384,1162
111,7,441,1162
112,振,546,1162
113,替,651,1162
114,0,56,1298
115,4,108,1298
116,.,179,1298
117,0,222,1298
118,4,276,1298
119,.,346,1298
120,2,386,1298
121,7,443,1298
122,C,553,1298
123,D,606,1298
124,フ,661,1298
125,リ,718,1298
126,コ,774,1298
127,ミ,827,1298
128,0,60,1431
129,4,108,1431
130,.,180,1431
131,0,225,1431
132,4,279,1431
133,.,351,1431
134,2,388,1431
135,7,448,1431
136,C,555,1431
137,D,610,1431
138,カ,665,1431
139,ー,723,1431
140,ド,783,1431
141,0,66,1546
142,4,115,1546
143,.,186,1546
144,0,232,1546
145,4,281,1546
146,.,355,1546
147,2,395,1546
148,7,452,1546
149,振,560,1546
150,込,667,1546
151,0,71,1944
152,4,118,1944
153,.,197,1944
154,0,237,1944
