"行","コード","関与先名・納税者名","税務署","課税方式区分","書類作成","電子申請ﾃﾞｰﾀ作成","担当者"
"124","05121/598","㈱竹乃下","広島東","簡易課税方式","済","済","佐々木　博也"
"125","05121/600","㈱ｱｰﾄｶﾝﾊﾟﾆｰ","萩","本則課税方式","済","済","高橋　健吉"
"126","05121/612","株式会社環境開発ホー","広島西","簡易課税方式","済","済","山田　健司"
"127","05121/613","㈱フィット","廿日市","本則課税方式","済","済","加藤　雄也"
"128","05121/617","㈱ナックス","広島西","本則課税方式","済","済","安田　祥英"
"129","05121/618","ﾎｯﾄﾌｧﾝｵｰﾄｶｽﾀﾑ","海田","本則課税方式","済","済","岡村　直幸"
"130","05121/619","㈱TWO FACE","広島東","本則課税方式","済","済","岡村　直幸"
"131","05121/620","小田産業㈱","海田","本則課税方式","済","済","木村　大介"
"132","05121/621","花田写真事務所","広島西","簡易課税方式","済","済","山田　健司"
"133","05121/629","㈱イーコム","広島西","本則課税方式","済","済","岡村　直幸"
"134","05121/632","未来夢","廿日市","本則課税方式","済","済","加藤　雄也"
"135","05121/634","㈱ﾌﾞﾗｲﾄｼｽﾃﾑ","広島北","本則課税方式","済","済","加藤　雄也"
"136","05121/642","株式会社　青山工業","広島南","本則課税方式","済","済","高橋　健吉"
"137","05121/650","（同）鳳琳","広島西","本則課税方式","済","済","佐々木　渉"
"138","05121/652","㈱ＡＬＬＥＧＲＡ","広島東","本則課税方式","済","済","岡村　直幸"
"139","05121/667","㈲Ｍ＆Ａ","広島西","簡易課税方式","済","済","佐々木　博也"
"140","05121/668","ﾒﾃﾞｨｱﾜｰｸｽ㈱","広島西","本則課税方式","済","済","佐々木　博也"
"141","05121/670","ﾘｯｼｭｶﾝﾊﾟﾆｰ","広島東","本則課税方式","済","済","三上　貴史"
"142","05121/683","㈱アンジュ","広島東","本則課税方式","済","済","三上　貴史"
"143","05121/688","㈱Ｂａｔｕｒ","広島東","簡易課税方式","済","済","岡村　直幸"
"144","05121/689","マーティス㈱","広島西","簡易課税方式","済","済","安田　祥英"
"145","05121/698","(株)ネクストアースコ","広島西","本則課税方式","済","済","岡村　直幸"
"146","05121/700","有限会社　和興空調","海田","本則課税方式","済","済","岡村　直幸"
"147","05121/701","ＤＯ－Ｂｒｏｓ㈱","広島北","本則課税方式","済","済","山田　健司"
"148","05121/707","髪音㈱","海田","本則課税方式","済","済","横井　要"
"149","05121/709","㈱きっすい","広島東","本則課税方式","済","済","安田　祥英"
"150","05121/712","中山法面工業","広島南","本則課税方式","済","済","高橋　健吉"
"151","05121/715","株式会社　康工業","廿日市","本則課税方式","済","済","横井　要"
"152","05121/718","（同）くすくす","広島北","本則課税方式","済","済","横井　要"
"153","05121/725","㈱総合美装","広島西","本則課税方式","済","済","木村　大介"
